Lj	Data	Item	Quantidade	Estoque	Fator	Peso	Estoque Loja	MDV	Norma	Lastro
1	31/03/2026	16925	6	7363	48	27	103	5,257	133	19
1	01/04/2026	14013	1	1248	24	5	73	3,2	189	21
1	01/04/2026	14020	1	456	24	5	50	1,943	189	21
1	02/04/2026	930475	1	984	24	7	1	0	195	13
1	06/04/2026	32506	2	491	12	18	42	2	85	17
1	06/04/2026	197755	56	9985	12	134	-40	76,257	308	28
1	06/04/2026	298254	2	134	12	20	18	0,857	75	15
1	06/04/2026	488327	44	12134	12	261	575	32,857	220	22
1	06/04/2026	544160	80	6813	6	319	31	27,114	280	40
1	06/04/2026	618908	15	4877	6	32	72	18,371	590	59
1	06/04/2026	633123	15	5459	8	210	152	8,486	75	15
1	06/04/2026	694018	2	820	20	34	51	2,743	48	12
1	06/04/2026	760560	3	600	6	11	-1	0,114	150	25
1	06/04/2026	819886	1	208	10	10	20	0,486	40	5
1	06/04/2026	832526	3	2040	12	29	0	0,886	0	25
1	06/04/2026	839532	1	201	20	20	9	0,029	49	7
1	06/04/2026	842174	2	190	12	6	19	1,029	280	40
1	06/04/2026	854092	2	404	8	27	13	0,971	50	10
1	06/04/2026	883436	1	42	6	3	-1	0,114	50	10
1	06/04/2026	909860	1	63	9	7	18	0,4	63	9
1	06/04/2026	931502	1	2880	36	4	0	1,057	336	21
1	06/04/2026	939904	1	251	12	3	26	1,6	280	40
1	06/04/2026	946513	1	1860	12	5	0	0	220	22
1	06/04/2026	949347	2	1544	15	28	17	2,029	78	13
1	06/04/2026	989770	1	684	12	3	45	1,714	100	10
1	06/04/2026	10719	44	8151	12	202	422	77,171	264	22
1	06/04/2026	150941	90	51789	27	512	694	58,514	165	15
1	06/04/2026	168816	15	3753	27	86	309	74,171	165	15
1	06/04/2026	183000	10	2469	12	30	96	7,943	360	36
1	06/04/2026	220200	30	28680	27	179	-39	33,057	165	15
1	06/04/2026	233569	60	15957	27	344	946	95,857	105	15
1	06/04/2026	296434	3	1593	27	17	87	3,286	150	15
1	06/04/2026	329644	3	1253	27	32	113	0	84	14
1	06/04/2026	540346	90	33117	27	449	2338	78,057	180	15
1	06/04/2026	802925	5	2544	24	18	228	7,4	80	5
1	06/04/2026	10023	1	2520	180	3	133	13,571	88	8
1	06/04/2026	10118	2	304	8	4	38	1,886	54	6
1	06/04/2026	10253	2	1692	36	30	50	3,914	60	10
1	06/04/2026	10293	1	24	6	10	5	0,257	50	10
1	06/04/2026	10403	1	1320	24	4	38	2,086	54	9
1	06/04/2026	10443	1	3432	180	3	119	17	150	15
1	06/04/2026	10445	2	124	6	2	32	1,114	420	15
1	06/04/2026	10481	5	240	12	22	22	4,629	110	22
1	06/04/2026	10500	1	36	18	0	2	0,457	30	6
1	06/04/2026	10515	1	258	6	7	3	0,114	32	4
1	06/04/2026	10526	1	24	24	2	11	0,371	100	10
1	06/04/2026	10867	1	73	12	13	44	1,514	90	15
1	06/04/2026	10873	1	16	8	16	16	0,6	100	10
1	06/04/2026	10880	5	2215	15	23	71	5,971	105	15
1	06/04/2026	11046	5	480	15	44	35	5,8	60	12
1	06/04/2026	11052	3	192	6	38	20	0,857	50	10
1	06/04/2026	11128	1	648	12	2	24	1,2	288	16
1	06/04/2026	11213	2	409	12	12	18	0,857	60	10
1	06/04/2026	11214	1	1104	12	12	20	1,543	50	10
1	06/04/2026	11437	1	204	6	2	7	0,314	160	40
1	06/04/2026	11686	2	1392	48	21	14	6,171	50	10
1	06/04/2026	11704	1	216	36	4	0	0,543	120	10
1	06/04/2026	11708	1	181	12	6	6	0,257	220	22
1	06/04/2026	11743	3	804	6	26	16	1,171	100	25
1	06/04/2026	11826	1	24	24	2	9	0,629	100	10
1	06/04/2026	11848	1	135	27	6	26	1,514	228	19
1	06/04/2026	11862	1	24	24	7	1	0,343	200	20
1	06/04/2026	11868	1	72	24	7	3	0,143	95	13
1	06/04/2026	11885	1	1088	64	5	92	4,971	135	15
1	06/04/2026	12386	3	564	12	54	28	1,514	56	14
1	06/04/2026	12452	1	36	15	2	14	0,514	28	7
1	06/04/2026	12564	1	108	12	2	8	0,343	570	30
1	06/04/2026	12590	1	557	16	1920	16	2,229	100	10
1	06/04/2026	12663	1	228	12	13	21	0,8	85	17
1	06/04/2026	12664	3	118	12	39	42	2,257	85	17
1	06/04/2026	12666	2	54	6	17	26	0,914	675	25
1	06/04/2026	12667	1	96	12	13	9	0,743	85	17
1	06/04/2026	12687	1	1857	38	15	0	4,343	81	9
1	06/04/2026	12694	1	419	12	3	9	0,429	286	22
1	06/04/2026	12695	1	28	28	9	0	0,714	75	15
1	06/04/2026	12699	2	516	12	6	10	0,771	240	8
1	06/04/2026	12702	1	349	12	3	12	0,714	112	8
1	06/04/2026	12707	2	160	40	5	14	2,143	138	23
1	06/04/2026	12710	1	720	30	2	30	2,171	120	24
1	06/04/2026	12716	5	33	6	364	39	2,286	54	9
